premium,exposure,loss
1838.27,1.0,0.0
935.65,0.75,0.0
1474.84,1.0,0.0
673.5,0.75,0.0
1457.99,1.0,0.0
1593.94,1.0,0.0
1189.76,1.0,0.0
1190.39,1.0,0.0
1205.46,1.0,1781.83
810.64,1.0,1532.22
1041.45,1.0,0.0
1039.63,1.0,0.0
1254.12,1.0,0.0
1556.1,,0.0
757.11,1.0,3260.01
1049.69,1.0,0.0
920.91,0.5,0.0
845.34,1.0,0.0
822.39,1.0,0.0
882.82,,0.0
1473.7,1.0,0.0
1101.03,1.0,0.0
1746.09,1.0,0.0
1480.12,1.0,1341.21
1472.38,1.0,0.0
1331.34,1.0,0.0
1857.52,0.75,0.0
1020.65,1.0,0.0
543.9,1.0,5472.93
1922.71,1.0,0.0
934.31,1.0,0.0
1138.83,1.0,0.0
433.57,0.25,0.0
625.91,1.0,0.0
707.63,1.0,0.0
626.13,1.0,0.0
207.63,0.25,0.0
639.52,0.5,2712.95
1317.47,0.0,9388.98
1207.97,1.0,0.0
334.42,0.5,0.0
488.56,1.0,1431.8
558.85,0.5,0.0
929.72,1.0,0.0
321.98,0.25,0.0
1402.04,1.0,7414.52
1151.0,1.0,0.0
1430.88,1.0,2844.72
1188.23,1.0,0.0
1320.18,1.0,0.0
856.94,1.0,0.0
772.36,0.75,0.0
293.71,0.25,0.0
1461.45,1.0,0.0
955.46,1.0,0.0
1316.07,1.0,0.0
999.2,1.0,0.0
526.22,0.5,0.0
1466.06,1.0,454.72
545.9,1.0,0.0
696.62,1.0,1421.99
652.78,1.0,0.0
484.56,1.0,0.0
864.89,1.0,1086.06
1069.15,0.75,0.0
,0.75,0.0
1175.24,1.0,0.0
1605.56,1.0,0.0
1308.99,0.75,0.0
1070.42,1.0,0.0
440.3,0.25,0.0
1132.57,1.0,0.0
204.51,0.25,0.0
890.66,1.0,0.0
653.15,1.0,816.67
803.64,1.0,0.0
967.48,1.0,0.0
1452.81,1.0,0.0
2002.74,1.0,0.0
676.03,1.0,0.0
1258.27,1.0,0.0
761.9,1.0,0.0
1294.84,1.0,0.0
1047.46,1.0,2417.24
577.77,1.0,767.38
1517.63,1.0,0.0
221.84,0.25,0.0
909.72,1.0,0.0
754.15,1.0,4371.12
872.18,1.0,0.0
1273.8,1.0,0.0
256.59,0.25,0.0
1230.32,1.0,358.8
311.18,0.25,2562.65
1741.03,1.0,0.0
972.65,1.0,0.0
654.0,1.0,0.0
1593.24,1.0,0.0
,0.75,0.0
404.97,0.25,0.0
1254.11,,0.0
785.58,0.75,0.0
1239.01,1.0,0.0
1628.11,0.75,0.0
1701.49,0.75,0.0
1123.59,1.0,22972.86
869.91,0.75,0.0
1598.28,1.0,0.0
815.68,1.0,1071.83
1232.22,1.0,0.0
1086.75,1.0,0.0
306.0,0.25,0.0
819.19,1.0,0.0
628.7,1.0,0.0
,0.75,0.0
741.68,1.0,0.0
700.49,0.75,0.0
989.68,1.0,0.0
1080.18,0.5,2907.9
1615.01,1.0,0.0
783.11,1.0,0.0
1238.55,1.0,815.3
951.01,1.0,0.0
496.37,0.5,5641.93
1170.12,1.0,2084.47
1021.5,0.75,0.0
973.85,1.0,0.0
1193.52,0.75,0.0
735.33,1.0,0.0
1099.07,1.0,0.0
2722.17,1.0,0.0
1185.69,1.0,0.0
1810.98,1.0,0.0
1132.33,1.0,0.0
1343.82,1.0,0.0
1075.05,1.0,0.0
1033.14,1.0,432.68
834.79,1.0,0.0
956.16,0.75,0.0
814.0,1.0,3205.03
1038.23,0.75,0.0
1603.35,1.0,0.0
1246.74,1.0,0.0
992.09,1.0,0.0
1285.48,1.0,0.0
984.33,1.0,0.0
1521.48,1.0,0.0
577.67,1.0,0.0
975.1,1.0,0.0
546.33,1.0,0.0
649.84,1.0,0.0
1767.55,1.0,0.0
1125.11,0.75,0.0
852.51,1.0,0.0
648.15,1.0,0.0
97.14,0.25,0.0
226.67,0.25,0.0
2558.42,1.0,0.0
1276.92,1.0,0.0
901.58,1.0,0.0
1290.49,1.0,1037.08
635.03,1.0,8033.73
988.25,1.0,0.0
1135.49,1.0,0.0
1064.08,1.0,0.0
361.58,0.25,218.64
1237.22,1.0,0.0
1385.64,1.0,0.0
861.84,1.0,0.0
1126.14,0.75,0.0
1939.39,1.0,0.0
780.9,1.0,0.0
803.76,1.0,245.34
1750.27,1.0,0.0
1025.6,-0.5,2491.91
1792.45,1.0,0.0
939.28,1.0,0.0
456.22,0.25,0.0
1148.28,1.0,0.0
1200.36,1.0,0.0
1896.28,1.0,0.0
966.21,1.0,0.0
394.44,0.5,0.0
937.3,1.0,0.0
321.19,0.25,0.0
633.96,1.0,0.0
1370.75,1.0,0.0
908.17,1.0,0.0
819.41,0.5,0.0
474.38,1.0,3580.04
832.72,1.0,0.0
607.73,1.0,0.0
821.24,1.0,0.0
597.97,0.5,0.0
1029.96,1.0,0.0
501.78,0.5,0.0
1037.21,1.0,0.0
1177.54,1.0,0.0
770.48,1.0,0.0
1404.44,1.0,0.0
1382.89,1.0,0.0
1254.84,1.0,0.0
1332.47,1.0,0.0
1216.52,1.0,0.0
2235.62,1.0,0.0
1063.71,1.0,0.0
984.88,1.0,0.0
842.41,1.0,0.0
573.08,0.75,0.0
532.06,0.75,0.0
200.86,-0.5,0.0
802.38,0.75,0.0
1232.75,1.0,0.0
1116.44,1.0,0.0
838.88,1.0,0.0
375.69,0.25,0.0
355.14,0.25,0.0
1037.04,1.0,0.0
872.6,1.0,0.0
1328.69,1.0,0.0
1171.21,1.0,2314.43
660.6,1.0,847.76
1070.85,1.0,0.0
1201.96,1.0,0.0
800.4,1.0,0.0
585.99,0.5,588.96
659.06,1.0,0.0
875.26,0.5,4299.27
424.32,0.0,0.0
1003.87,1.0,0.0
1245.4,1.0,0.0
117.95,0.25,2860.02
731.63,1.0,0.0
989.48,1.0,0.0
753.52,1.0,0.0
1408.16,1.0,0.0
551.56,0.25,5885.34
726.46,1.0,195.41
204.51,0.25,0.0
297.71,0.25,0.0
1927.33,1.0,0.0
714.92,1.0,0.0
1196.51,1.0,955.06
,1.0,0.0
615.16,1.0,364.32
,1.0,0.0
236.38,0.25,0.0
228.49,0.25,0.0
1457.4,1.0,0.0
596.71,0.5,0.0
589.2,1.0,0.0
985.07,0.75,0.0
447.96,0.5,0.0
856.55,0.5,2971.64
880.37,1.0,0.0
438.8,0.5,0.0
1325.3,1.0,0.0
1432.28,1.0,0.0
1282.84,1.0,0.0
607.92,1.0,1886.2
1323.87,1.0,0.0
572.67,0.75,0.0
1190.76,1.0,0.0
666.27,1.0,0.0
1282.05,1.0,0.0
826.91,1.0,0.0
350.0,0.5,0.0
1407.88,1.0,0.0
895.06,,0.0
663.43,0.75,0.0
1822.41,1.0,0.0
939.9,1.0,1910.83
1109.03,1.0,0.0
-301.22,0.25,980.46
220.7,0.25,3493.77
1293.23,1.0,0.0
909.86,1.0,309.25
949.49,1.0,2807.96
1766.8,,899.47
380.94,0.5,0.0
235.66,0.5,0.0
1927.21,1.0,4446.83
2007.37,0.75,0.0
951.61,1.0,0.0
556.74,,6559.4
983.71,1.0,170.46
744.07,0.75,0.0
513.05,0.5,0.0
742.72,1.0,0.0
1343.25,1.0,0.0
1317.61,1.0,835.22
649.99,,0.0
350.17,0.25,0.0
1687.09,0.75,0.0
1164.66,1.0,0.0
243.63,0.25,0.0
1043.46,1.0,0.0
1360.14,1.0,0.0
598.4,1.0,0.0
1161.58,1.0,0.0
239.14,0.25,0.0
2093.81,1.0,0.0
1031.78,1.0,3947.41
1966.01,1.0,417.08
745.23,1.0,2113.56
1346.87,1.0,1763.18
1226.34,1.0,0.0
809.03,1.0,0.0
291.72,0.25,0.0
1676.36,1.0,1173.88
979.14,1.0,0.0
606.57,1.0,0.0
272.48,0.25,0.0
799.63,1.0,0.0
729.6,0.75,0.0
1065.76,1.0,0.0
603.67,1.0,0.0
622.98,1.0,0.0
649.09,0.5,0.0
456.64,0.5,0.0
446.9,1.0,0.0
1082.48,0.75,0.0
1206.32,1.0,0.0
640.64,0.75,0.0
345.84,0.5,0.0
1469.29,1.0,2527.95
1239.26,1.0,2002.4
2524.78,1.0,0.0
1270.37,1.0,0.0
-314.0,0.25,0.0
1034.4,1.0,0.0
-1459.53,1.0,0.0
341.21,0.25,0.0
1699.52,1.0,0.0
913.73,1.0,0.0
941.63,1.0,0.0
927.33,1.0,0.0
1446.32,1.0,0.0
1852.76,1.0,0.0
233.48,0.25,0.0
945.14,1.0,680.83
1224.06,1.0,1136.03
251.56,0.25,0.0
382.57,-0.5,0.0
498.64,1.0,0.0
821.11,1.0,1135.43
833.93,1.0,0.0
486.81,1.0,0.0
782.68,1.0,0.0
796.08,1.0,0.0
511.05,0.5,383.31
1618.96,1.0,0.0
754.87,0.75,0.0
764.49,1.0,0.0
806.24,0.75,0.0
1583.21,1.0,0.0
,1.0,24181.35
199.34,0.25,0.0
1333.41,1.0,0.0
1014.82,1.0,611.34
1375.56,1.0,1190.26
272.85,0.25,0.0
1051.42,0.75,0.0
381.68,0.5,0.0
1092.0,1.0,14736.06
1018.68,1.0,0.0
716.54,1.0,0.0
475.85,0.75,0.0
697.06,0.5,0.0
969.87,1.0,0.0
766.78,1.0,0.0
1060.33,1.0,3916.84
1627.51,1.0,1774.32
246.8,0.5,689.99
649.48,1.0,0.0
595.44,0.75,1082.62
1828.8,1.0,0.0
1210.64,1.0,0.0
1434.48,1.0,0.0
735.79,1.0,0.0
555.84,0.75,0.0
1282.72,1.0,996.41
279.81,0.25,0.0
664.42,-0.5,0.0
770.19,0.75,0.0
1208.76,1.0,0.0
1159.03,1.0,0.0
1439.74,1.0,2158.0
1454.55,1.0,0.0
622.07,1.0,0.0
124.86,0.25,0.0
1557.15,1.0,0.0
1003.87,1.0,0.0
1382.89,1.0,0.0
821.24,1.0,0.0
124.86,0.25,0.0
859.11,1.0,0.0
726.46,1.0,195.41
1086.75,1.0,0.0
796.08,1.0,0.0
955.46,1.0,0.0
432.13,0.25,0.0
